prompt,response
The making of healthy and moral snacks: A multimodal critical discourse analysis of corporate storytelling,"Many snack companies use stories to promote themselves as healthy alternatives to their competitors. These stories often emphasize the health qualities of the products, but they may not be accurate."
Synthetic alternatives to Matrigel,"Matrigel is limited in its applicability to cellular biology and drug discovery owing to its complex, ill-defined and variable composition."
Cultured Meat Prospects for a Billion!,"Meat consumption in India is projected to rise with an increase in consumer incomes, and novel alternative proteins are being developed to satisfy the demand for meat-derived proteins in the diet."
Towards a broader understanding of South African consumer spending on meat,Meat consumption in South Africa is determined by non-economic factors.
Meat consumption: Trends and quality matters,"Meat consumption is likely to increase in the future, driven largely by white meats."
The Oxford Vegetarian Study: An Overview,Meat consumption is positively associated with cholesterol levels in men and women.
How Human Carnivory Harms Global Biodiversity,"Meat consumption threatens vertebrate species, with fishing and farming being the main threats."
The relationship between meat disgust and meat avoidance-A chicken-and-egg problem.,Meat eaters who attempted a meat-free diet for 1 month showed increases in meat disgust.
Meat and Human Health-Current Knowledge and Research Gaps.,Meat is not harmful to health and can be beneficial to human health.
Reducing Meat Consumption: Messaging That Works,Meat production drives about 15% of anthropogenic greenhouse gas emissions.
Go the Whole Nine Yards? How Extent of Meat Restriction Impacts Individual Dietary Experience,Meat reducers report better experiences with their vegetarian diets than meat eaters.
"A New Way of Eating: Creating Meat Reducers, Vegetarians and Vegans",Meat reduction and vegan campaigns by non-governmental organizations are a primary promoter of reduction and present a unique opportunity to research reducers.
The impact of diet on wastewater treatment works phosphorus loading.,"Meat-eating individuals in the UK consume an average of 1715 mg phosphorus/day, which is 45% of the phosphorus load discharged to wastewater treatment works. If everyone in the UK became vegan, this would reduce the load to wastewater treatment works by over 15,000 tonnes of phosphorus per year."
Effect of Modified Wheat Gluten on Boiling Resistance Capacity of Pork Meatballs,Meatballs with added soy protein isolates and raw wheat gluten had better boiling resistance than meatballs without extenders.
Food Security And The Size Of Meatpacking Plants,"Meatpacking is most efficient at a large scale, leading to more affordable meat for consumers."
Effects of specific mechanical energy on soy protein aggregation during extrusion process studied by size exclusion chromatography coupled with multi-angle laser light scattering,Mechanical energy (SME) increased the weight-average molecular weights of soy protein isolate and the aggregates.
Expansion of partially defatted peanuts by a new texturizing process called “Intensification of Vaporization by Decompression to the Vacuum” (IVDV),Mechanical expression preserving shape integrity (MEPSI) is a novel defatting and expansion process that results in low-fat peanuts with reduced fat.
Large-scale genomic study reveals robust activation of the immune system following advanced Inner Engineering meditation retreat,Meditation can dysregulate an immune response in patients with multiple sclerosis and severe COVID-19.
"Join our team, change the world: edibility, producibility and food futures in cultured meat company recruitment videos","Memphis Meats, a company planning to produce cultured meat, has been using online videos to recruit employees."
Perceptions and Interpretation of Contemporary Masculinities in Western Culture: A Systematic Review.,"Men perceive contemporary masculinities to be more inclusive, emotional, physical and resistant."
Meat Me Halfway: Sydney Meat-Loving Men’s Restaurant Experience with Alternative Plant-Based Proteins,"Men were unlikely to include plant-based food as a permanent part of their diet, but acknowledged the importance of women for their visit to the vegan restaurant."
"Diet, Fecal Microbiome, and Trimethylamine N-Oxide in a Cohort of Metabolically Healthy United States Adults.",Metabolically healthy adults with a normal BMI and elevated TMAO levels do not have a higher risk of cardiometabolic diseases.
A Scoping Review: Metabolomics Signatures Associated with Animal and Plant Protein Intake and Their Potential Relation with Cardiometabolic Risk.,"Metabolomics is a valuable tool for globally and mechanistically characterizing the impact of AP and PP intake, given its unique ability to provide integrated signatures and specific biomarkers of metabolic effects through a comprehensive snapshot of metabolic status. "
Atravesando Fronteras/Border Crossings: A Critical Ethnographic Exploration of the Consumer Acculturation of Mexican Immigrants,Mexican immigrants in the United States have complex adaptations to consumer culture.
Microbial cell factories for the sustainable manufacturing of B vitamins,Microbial cell factories are being developed to produce vitamins that could compete with chemical methods.
The effects of fungal bioprocessing on air-classified pea protein concentrates,Microbial fermentation processes can improve quality and broaden the applications of air-classified pea proteins.
"Microencapsulation of Lactobacillus acidophilus La-05 and incorporation in vegan milks: Physicochemical characteristics and survival during storage, exposure to stress conditions, and simulated gastrointestinal digestion",Microencapsulation of L. acidophilus La-05 decreases the number of viable bacteria by 3-4 log CFU/mL in storage and after being exposed to stress conditions.
"Microfluidization of fenugreek (Trigonella foenum graecum) seed protein concentrate: Effects on functional, rheological, thermal and microstructural properties","Microfluidization treatment improved the color, oil binding capacity, emulsion stability, and stress tolerance of Kasuri and Ajmer fenugreek seed proteins."
The Evolution of American Microtargeting: An Examination of Trends in Political Messaging,Microtargeting has been used in American politics for the past half-century.
Exploitation And Trafficking In U.K. Fishing,Migrant fishers are more likely to have inaccurate contracts and are more vulnerable to exploitation.
Mildly refined fractions of yellow peas show rich behaviour in thickened oil-in-water emulsions,Mild fractionation yields soluble protein and starch fractions that are stable and can be used in an oil-in-water emulsion.
Conversion of syngas (CO and H2) to biochemicals by mixed culture fermentation in mesophilic and thermophilic hollow-fiber membrane biofilm reactors,Mixed culture fermentation (MCF) of syngas produces high concentrations of acetate.
Effect of maleylation on physicochemical and functional properties of rapeseed protein isolate,"Modification of rapeseed protein isolate resulted in increased whiteness value and dissociation of proteins, but reduced free sulfhydryl and disulfide content."
Dog Emotions and Human Emotions: Cut From The Same Cloth,Most humans think their dog has a wide range of emotions.
"Consumers’ evaluation of the environmental friendliness, healthiness and naturalness of meat, meat substitutes, and other protein-rich foods","Most participants did not believe that meat substitutes are automatically more environmentally friendly, healthier, or more natural than meat."
Cultured Meat and Australias Generation Z.,"Most people in this study are not ready to accept cultured meat, but many think that it is a viable idea because of the need to transition to more sustainable food options and improve animal welfare."
The religious beliefs as parameter of food choices at tourist destination The case of Mykonos,"Most tourists to Mykonos choose traditional recipes from the Greek cuisine regardless of their religious beliefs, confirming that this destination is popular for its night life and not its religious associations."
브랜드 전략개발을 위한 비건(Vegan) 패션 · 뷰티 상품 분석,"Most vegan fashion and beauty products are made of natural, plant-based materials."
Impressions Matter: Promoting Veganism On A Personal Basis,"Most vegans felt a need to present themselves in a non-threatening, non-proselytizing manner."
Alpha and beta diversity patterns of macro-moths reveal a breakpoint along a latitudinal gradient in Mongolia.,Moths in Mongolia show a breakpoint of beta diversity that divides grassland and desert communities.
Cow Feedlots And Animal Welfare,Mounds or other structures should be built in outdoor feedlots to give cows a dry place to lay.
"Effects of microbial transglutaminase on physicochemical properties, electrophoretic patterns and sensory attributes of veggie burger","MTGase and SC improve the characteristics of veggie burgers, such as shrinkage and moisture content."
Positive Influence of a Probiotic Mixture on the Intestinal Morphology and Microbiota of Farmed Guinea Fowls (Numida meleagris).,Multi-strain probiotic administration improved intestinal morphology in guinea fowls.
Evaluation of the functional properties of mung bean protein isolate for development of textured vegetable protein,"Mung bean has high protein content and is used as a raw material for food products, but has limited application."
"Effect of thermosonication pre-treatment on mung bean (Vigna radiata) and white kidney bean (Phaseolus vulgaris) proteins: Enzymatic hydrolysis, cholesterol lowering activity and structural characterization",Mung bean hydrolysates displayed greater inhibition of cholesterol absorption into micelle and decreased HMG-CoA activity.
Effects of processing methods on structure and functional properties of mung bean protein,Mung bean protein is rich in protein and has good processing suitability.
Brits and British Muslims and their perceptions of cultured meat: How big is their willingness to purchase?,Muslims and non-Muslims in the UK view food choice determinants similarly.
"Mycoprotein: The Future of Nutritious Nonmeat Protein, a Symposium Review.","Mycoprotein is a high-protein, low-fat, cholesterol-free alternative to beef and chicken that may have health benefits."
Pandemic Puppies Were Real — Now For The Hard Part,Nearly a quarter of people who get puppies buy them over 2000 pounds.
Understanding Perceptions of Genetically Modified Food Among Natural Food Shoppers in Southern Nevada,"Nearly all crops in the US are genetically modified.
The benefits of GM crops may be outweighing potential health risks."
Acceptance of Cultured Meat in Germany-Application of an Extended Theory of Planned Behaviour.,Nearly all participants (97.2%) were willing to consume a cultured meat burger if offered one.
Nutritional Value of Commercial Protein-Rich Plant Products,Nearly all the samples studied have a favorable composition with significant health benefit potential.
Could Data Broker Information Threaten Physician Prescribing and Professional Behavior?,Nearly two thirds of healthcare professionals have consumer data available about them.
Predicting Disruption In The Food Sector After COVID-19,"New technologies are changing the way food is produced, and the food supply chain is less likely to be disrupted."
‘‘We Don’t Tell People What To Do’’: An Examination of the Factors Influencing NGOs to Campaign for Reduced Meat Consumption,"NGOs found that addressing meat consumption and climate change is complicated, making efforts from both angles difficult."
Measuring Stress In Canine-Assisted Interventions,"Nine studies found that dog handlers had lower levels of cortisol after participating in AAI; however, no studies looked at cortisol levels in the dogs themselves."
"Healthy diets, lifestyle changes and wellbeing during and after lockdown: Longitudinal evidence from the West Midlands",No adverse effects were found on fruit and vegetable consumption during a lockdown compared to afterwards.
Adaptive Divergence without Distinct Species Relationships Indicate Early Stage Ecological Speciation in Species of the Rhododendronpseudochrysanthum Complex Endemic to Taiwan.,"No distinct species relationships were found using genetic clustering analyses, neighbor-joining tree, and neighbor-net tree based on the total AFLP variation."
The way to a meat-eater’s heart is through their stomach: Exposure to more appealing vegan food increases preference for meat-free options,"No significant difference was found in estimates of factory farming or animals ability to feel pain between conditions, however, exposure to appealing vegan food was associated with a significantly stronger preference for vegan food."
Non-animal proteins as cutting-edge ingredients to reformulate animal-free foodstuffs: Present status and future perspectives.,Non-animal proteins are versatile and have many potential applications in the food industry.
Substitution and food system de-animalisation: the case of non-dairy milk,"Non-dairy milks are a substitute for dairy milk, and this is associated with frames about sustainability."
Studying Wild Animals Without Harming Them,Non-invasive methods are being used to collect samples from animals in order to study their health.
A Meaty Matter A Pet Diet And The Vegetarian’s Dilemma,Non-meat-eaters were more likely to feed their pets a vegetarian diet and express guilt over feeding them an animal-based diet.
A novel methoxydotrophic metabolism discovered in the hyperthermophilic archaeon Archaeoglobus fulgidus.,Non-methanogenic archaea can use methanogenic Archaeoglobus fulgidus to convert macromolecules into their hydroxylated derivatives.
Does Becoming a Vegetarian or Vegan Affect Your Love Life?,Non-vegetarian Poles were 12 more likely to have a non-vegetarian romantic partner.
Which Groups Are Least Likely To Support Animal Causes (And Which Causes Do They Support Instead)?,"Non-white people, females, and those with higher incomes are more likely to donate to animal causes."
Rational Advocacy and the Logic of Persuasion,"Nonhuman Animal advocates often prioritize tactics and goals which are better suited to fundraising and organizational longevity, not necessarily those which would be better adapted to dismantling speciesism."
Ethical Wildlife Control: An International Perspective,"Nonprofit and charitable organizations should use evidence-based methods when possible, advocated by experts."
"Phytoestrogens: the biochemistry, physiology, and implications for human health of soy isoflavones","Nonsteroidal estrogens, such as isoflavones, have many potent hormonal and nonhormonal activities."
Fenugreek enriched extruded product: Optimization of ingredients using response surface methodology,"Oat flour, dried green pea flour, fenugreek seed powder, and fenugreek leave powder were found to decrease the lateral expansion (LE), water solubility index (WSI), hardness (HD), and bulk density (BD) of extruded products, while increasing water absorption index (WAI)."
Beyond milk : framing milk and oat-drink campaigns in Sweden,Oatly and Arla use different environmental frames to communicate with their social media followers. Oatly focuses on the health benefits of oat-drink while Arla communicates its milk production system in a more traditional manner.
Okra—Abelmoschus esculentus L. (Moench.) a crop with economic potential for set aside acreage in France,Okra has economic potential for cultivation in the south-west of France.
Attitude-Behavior Consistency For Stigmatized Behaviour,"Omnivores showed cognitive consistency between self identification, attitudes, and behavior at the implicit and explicitly levels."
Menu Descriptions and Nutrient Content of Food Items in U.S. Restaurants (FS02-01-19),One study found that food items with claims about being healthy or nutritious were more often nutrient-rich than other food items.
"Consumers’ attitudes towards lab-grown meat, conventionally raised meat and plant-based protein alternatives",One-quarter of Australian consumers are willing to consume lab-grown meat products.
Nutritional Profiles of Non-Dairy Plant-Based Cheese Alternatives.,Only 3% of non-dairy cheese alternatives analyzed had 5 g or more of protein.
10-Year Changes of Food Consumption and Carbon Footprint in Ontario,Ontarians are reducing their intake of red meat and increasing poultry and beverages high in sugar.
Salivary Microbiota Shifts under Sustained Consumption of Oolong Tea in Healthy Adults.,Oolong tea consumption reduced salivary bacterial diversity and the population of some oral disease related bacteria.
Grass Pea (Lathyrus sativus L.) Protein Isolate: The Effect of Extraction Optimization and Drying Methods on the Structure and Functional Properties,"Optimal extraction parameters for protein from grass pea seed were found to be pH 2.57, 48 min extraction time, and water:flour ratio of 10 (v/w)."
Effect of Organic Acids and Marination Ingredients on the Survival of Campylobacter jejuni on Meat,"Organic acids (tartaric, acetic, lactic, malic, and citric acids) reduce populations of Campylobacter jejuni on chicken meat."
Ethical and sustainable consumption in the Italian coffee market: a choice experiment to analyse consumers\u2019 willingness to pay,"Organic and Fair Trade coffee are considered more valuable by some Italian consumers, even if they are willing to pay a premium price for it."
"Bioactive Compounds, Sugars, and Sensory Attributes of Organic and Conventionally Produced Courgette (Cucurbita pepo).","Organic courgette fruits have higher concentrations of sugars and health-promoting bioactive compounds, but no difference in vitamin C, carotenoids, or chlorophylls concentrations compared to conventionally grown courgettes."
Effect of Organic Food Intake on Nitrogen Stable Isotopes.,"Organic farming has an impact on the isotopic composition of plants, which in turn can impact the performance of δ15N as a biomarker for meat and fish intake."
Using public relations techniques to market organic food: understanding consumer buying behavior,Organic food distributors rely on social media to communicate with their customers.
Go organic: Sustainable marketing goals – Chandigarh organic market,"Organic food production has many benefits, but it can be more expensive than chemical-intensive farming."
Ethics and Nonprofits,"Organizations have low trust in the public, with one-third not having much or no confidence."
Tackling Food Crimes and Food Criminals,Organizations need to consider the type of criminal activity and also the likelihood for this activity to be associated with their materials and products in order to mitigate food-related crime.
Alternate Perspective: Goals Gone Wild,"Organizations should be cautious when setting goals, as they can have negative consequences."
Opinion: On the Way towards the New Paradigm of Atherosclerosis.,"Our hypothesis suggests that the overloading of enterocytes with lipids leads to the formation of modified LDLs, which in turn causes atherogenesis."
Cattle In Vitro Induced Pluripotent Stem Cells Generated and Maintained in 5 or 20% Oxygen and Different Supplementation,"Oxygen tension influenced pluripotency in bovine iPSCs, but a low oxygen environment led to loss of pluripotency."
Prevalence of Product Claims and Marketing Buzzwords Found on Health Food Snack Products Does Not Relate to Nutrient Profile.,Packaged foods marketed as health food have more claims on them than regular snack foods.
Factors affecting consumer’s healthy-package food consumption intention,Pakistani consumers are indifferent towards healthy packaged food.
Perceptions Of Family Violence And Companion Animals,Participants estimated that family violence against companion animals is associated with violence against children.
"A multi-national comparison of meat eaters attitudes and expectations for burgers containing beef, pea or algae protein","Participants in all three countries expected pea burgers to be less tasty, but healthier and more environmentally friendly than beef burgers."
Strategy to Evaluate Changes in Bacterial Community Profiles and Bacterial Pathogen Load Reduction After Sewage Disinfection.,Pathogens remained viable after disinfection reached 8 log10 16S rRNA copies ml-1 effluent.
Gut microbiome profiles and associated metabolic pathways in patients of adult-onset immunodeficiency with anti-interferon-gamma autoantibodies.,Patients with anti-IFN-γ antibodies have a gut microbiome characterized by lower alpha diversity.
Making the Case for Leveraging the Patient-Centered E-Health (PCEH) Context to Expand Information Systems Theory,"PCEH is an ideal context for studying the emergence of information systems that include consumers as empowered influencers, stakeholders, and decision makers."
"Degradation mechanisms of polycaprolactone in the context of chemistry, geometry and environment","PCL is degraded by various mechanisms, depending on its application."
Fabrication of hybrid scaffolds obtained from combinations of PCL with gelatin or collagen via electrospinning for skeletal muscle tissue engineering,"PCL is used to make scaffolds for the regeneration of muscle tissue, and protein addition has a negative impact on the scaffolds properties."
Effect of Peanut Shell and Rice Husk Bedding for Dairy Cows: An Analysis of Material Properties and Colostrum Microbiota.,"Peanut shells are better than rice husks as bedding for dairy cows, although no specific benefits were found for water holding capacity or pH level. Bedding types were associated with the growth and diversity of colostrum bacterial loads."
Brief exposure to directionally-specific pulsed electromagnetic fields stimulates extracellular vesicle release and is antagonized by streptomycin: A potential regenerative medicine and food industry paradigm,PEMF exposure can promote myogenesis in vitro and in vivo.
The social economics of ethical consumption: Theoretical considerations and empirical evidence,People are more likely to buy ethically when others around them do too.
How I See Me-A Meta-Analysis Investigating the Association Between Identities and Pro-environmental Behaviour.,People have diverse identities which are related to pro-environmental behaviours.
Central Florida Food Culture: The Changing Landscape,"People in Central Florida are embracing a more traditional food culture, emphasizing seasonal, local, and organic ingredients."
Faunalytics Index – October 2021,"People in the US feel that it is important to control companion animal overpopulation, but a third of people feel that it can be dangerous."
We are the Change that we Seek: Information Interactions During a Change of Viewpoint,People interviewed changed their views after engaging with a variety of digital information sources.
Should Humans Intervene in Nature to Stop Wild Animal Suffering?,"People should question their view of nature and intervene to help animals in distress, according to philosopher Oscar Horta."
Shoppers Support For Local Meat,People surveyed considered visual appearance of food as one of the most important factors when making a purchase.
Analysis Of Attitudes Toward Damage-Causing Wildlife,People tolerated damage done by elephants more than they tolerated damage done by carnivores. Urbanites had the most positive attitudes.
The Absent-Minded Consumer,People who are absent-minded about their consumption spend more than those who are attentive.
Does Our Personality Predict Our Compassion?,People who are agreeable and open to experience tend to have compassionate views toward animals.
Conservatism predicts lapses from vegetarian/vegan diets to meat consumption (through lower social justice concerns and social support).,People who are more conservative are more likely to lapse back to meat consumption when they initially become vegan.
When Pescatarians Are Vegetarians At Heart,People who avoid meat for ethical reasons are more likely to keep seafood in their diet.
How Are Dog People And Cat People Different?,"People who consider themselves dog people tend to be more social and outgoing, while those who consider themselves cat people are more neurotic but also more open."
"Dietary Intake of High-Protein Foods and Other Major Foods in Meat-Eaters, Poultry-Eaters, Fish-Eaters, Vegetarians, and Vegans in UK Biobank.","People who eat meat have high intakes of fruit and vegetables, while vegetarians and vegans have higher intakes of plant-based high-protein foods."
"Associations between Pro- and Anti-Inflammatory Gastro-Intestinal Microbiota, Diet, and Cognitive Functioning in Dutch Healthy Older Adults: The NU-AGE Study.",People who eat more plant-based foods have a healthier microbiota profile which is associated with better cognitive function.
Animal Tracker 2018: Favorability of Animal Protection,"People who give money or time to charitable organizations are not changing their behavior much, but animal-focused organizations are retaining some support."
Understanding Animal Cruelty: The Dark Triad,People who score high on the Dark Triad are more likely to be cruel to animals.
Unwelcome Reminders: Meat Imagery And Antiveg*n Sentiments,"People with antiveg*n sentiment were more likely to believe that eating meat is natural, necessary, and nice."
What Messaging Makes People Oppose Animal Farming?,Peoples attitudes towards animal farming change depending on whether they are aware of current conditions or reforms happening.
Enabling sustainable food transitions in schools: a systemic approach,Peoples cultural perceptions of what constitutes a proper meal can be a barrier to transitioning to more sustainable food practices in schools.
Finding Hope In Small Scale Production Of Cultured Meat,Peoples reactions to cultured meat are often negative.
The Expansion of a Single Bacteriophage Leads to Bacterial Disturbance in Gut and Reduction of Larval Growth in Musca domestica.,"Phages can change the composition of gut bacteria in housefly larvae, which may influence insect health."
Metagenomics analysis of bacteriophages and antimicrobial resistance from global urban sewage.,Phages have a global distribution and are associated with bacteria in sewage.
Functionalization of a Vegan Mayonnaise with High Value Ingredient Derived from the Agro-Industrial Sector.,Phenolic extracts from wastewater were found to have a positive effect on the quality of vegan mayonnaise.
Unpalatable plants induce a species-specific associational effect on neighboring communities.,"Phlomis cancellata (an unpalatable nonpoisonous plant) has an impact on neighboring communities in grasslands that are grazed, reducing biodiversity."
Research progress and application prospects of stable porcine pluripotent stem cells,"Pigs are ideal animal models for pluripotency research, and generation of porcine stem cells has recently progressed."
Analysis of Pinterest as a Tool for Dissemination of Nutrition Information for Parents of Teenagers,"Pinterest does not have any credible, registered dietitians sharing accurate information about nutrition."
"Dog Attack Deaths and Maimings, U.S. & Canada: September 1982 to December 31, 2012",Pit bulls are responsible for 79% of all attacks that induce bodily harm to children.
"Bitter taste, phytonutrients, and the consumer: a review","Plant-based phenols and polyphenols, flavonoids, isoflavones, terpenes, and glucosinolates found in vegetables and fruit appear to have health benefits."
"Rheological, structural, and water-immobilizing properties of mung bean protein-based fermentation-induced gels: Effect of pH-shifting and oil imbedment",plant-based protein-based fermentation-induced gels resembling dairy yogurt in consistency are more deformable and stiffer than native MBP gels.
Scaffolds for the manufacture of cultured meat,Plant-derived biomaterials are being explored for scaffolding in cultured meat research.
Alteration in Gut Microbiota Associated with Zinc Deficiency in School-Age Children.,Poor dietary diversity and insufficient food and nutrient intake were associated with increased inflammatory cytokines in zinc deficient school-age children.
Isolation and culture of embryonic stem cells from porcine blastocysts,Porcine blastocysts can be used to establish embryonic stem (ES) cells lines.
Mushroom Consumption Behavior and Influencing Factors in a Sample of the Portuguese Population,Portugals population consumes mushrooms frequently.
Pre- and post-treatment enhance the protein enrichment from milling and air classification of legumes,Pre- and post-treatments increased the protein purity.
Ovariectomy Impaired Hepatic Glucose and Lipid Homeostasis and Altered the Gut Microbiota in Mice With Different Diets.,"Preforming ovariectomy in 8-week old mice decreased blood biochemical indexes and altered histology in their livers, suggesting that hormones from ovaries play an important role in regulating glucose and lipid metabolism."
"Subacute Exposure to an Environmentally Relevant Dose of Di-(2-ethylhexyl) Phthalate during Gestation Alters the Cecal Microbiome, but Not Pregnancy Outcomes in Mice.","Pregnant mice exposed to low levels of DEHP had changes in their gut microbes, which may impact their fertility."
Asian Elephants in the Mirror,Preliminary scientific research shows that elephants may possess mirror self-recognition.
Reasons For Stereotypical Behavior In Zoo-Housed Primates,"Primates in captivity engage in more distress behaviors, but increasing the complexity of the captive environment may help improve their welfare."
The Role of Priming on Consumers\u27 Purchase Decisions,"Priming stimuli could be effective in altering consumers purchasing behavior, consumption habits, and attitudes towards unhealthy food products."
3D Bioprinting of Novel κ-Carrageenan Bioinks: An Algae-Derived Polysaccharide,Pristine kappa-carrageenan bioinks were successfully formulated and used to fabricate 3D scaffolds.
Future Proof and Real-World Ready: The Role of Live Project-Based Learning in Students’ Skill Development,"Project-based learning can help students develop important digital marketing skills as well as critical thinking, creativity, collaboration, and communication."
Influence of pH and salt concentration on functional properties of walnut protein from different extraction methods,Protein extraction from walnut using various methods yielded proteins with superior water holding capacities and solubility.
"High moisture extrusion cooking of pea protein isolates: Raw material characteristics, extruder responses, and texture properties","Protein isolates from three different types of peas are comparable in viscosity and texture, depending on their functional properties."
Characterization of the morphology and thermal properties of Zein Prolamine nanostructures obtained by electrospinning,Proteins in fiber networks have increased thermal properties.
Alteration of the structure of rice proteins by their interaction with soy protein isolates to design novel protein composites,Proteins with enhanced solubility and stability were produced by modifying the pH of the proteins.
Single Molecule Real-Time Sequencing and Traditional Cultivation Techniques Reveal Complex Community Structures and Regional Variations of Psychrotrophic Bacteria in Raw Milk.,Pseudomonas accounted for 58.9% of the total genera while Stenotrophomonas and Enterococcus were also highly represented.
How Psychology Can Help Limit Climate Change,"Psychologists need to go beyond demonstrating that concepts and theories can predict behaviors, and show how integrating psychological concepts into feasible interventions can reduce greenhouse gas emissions."
Assistance Dogs And Military PTSD Treatment,"PTSD is a widespread problem among veterans that needs to be addressed with national priority. 22 Veterans die by suicide each day, 22 are killed by suicide every day."
"Extending Bayesian structural time-series estimates of causal impact to
 many-household conservation initiatives",Public outreach campaigns use Bayesian Structural Time Series to measure the impact on conservation.
"Antimicrobial Resistance, an Update from the Ward: Increased Incidence of New Potential Pathogens and Site of Infection-Specific Antibacterial Resistances.",Public tertiary university hospital in Italy found a wide range of antimicrobial resistance among different bacterial species.
"Improving pulse crops as a source of protein, starch and micronutrients","Pulse crops have been neglected in terms of cultivation, consumption, and scientific research. Genetic enhancements of pulse crops may help to mitigating micronutrient deficiencies and reducing risk of chronic diseases."
Enhancing Myoblast Fusion and Myotube Diameter in Human 3D Skeletal Muscle Constructs by Electromagnetic Stimulation,Pulsed electromagnetic field stimulation enhances myogenesis in human skeletal muscle cells in three dimensions.
"Pulse proteins: Processing, characterization, functional properties and applications in food and feed",Pulses contain high amounts of essential amino acids and possess functional properties comparable to other commonly used proteins.
Rheological properties of quinoa-based gels. An alternative for vegan diets,"Quinoa flour gels exhibit a weak gel-like response, but heat treatment applied results in the formation of proper QF-based gels."
Rapeseed protein concentrate as a potential ingredient for meat analogues,Rapeseed protein concentrate can be used as an environmentally sustainable meat analogue ingredient.
Spatial associations between plants and vegetation community characteristics provide insights into the processes influencing plant rarity.,Rare species were positively associated with species diversity in forest communities.
Effects of Daily Raspberry Consumption on Immune-Metabolic Health in Subjects at Risk of Metabolic Syndrome: A Randomized Controlled Trial.,"Raspberries did not have any significant effects on blood glucose, triglycerides, insulin, or pressure in overweight or obese subjects with slight hyperinsulinemia or hypertriglyceridemia. However, 43 genes were differentially expressed and several pathways were enriched."
Impact of plasma reactive species on the structure and functionality of pea protein isolate,"Reactive oxygen and nitrogen species, in particular O3 and OH, altered the structure and functionality of pea protein isolate."
Advances in cereal genomics and applications in crop breeding,Recent advances in cereal genomics have led to the identification of genes underlying complex traits.
Fermented beverages with health-promoting potential: Past and future perspectives,Recent developments in the fermentation of beverages have yielded non-dairy probiotic beverages.
"Human-Animal Studies: Past, Present, & Future","Recent shifts in perspectives in the field of HAS question basic distinctions between nature and human culture, and between individuals and groups."
"Crop Phenomics and High-Throughput Phenotyping: Past Decades, Current Challenges, and Future Perspectives",Recent technological advances provide potential solutions to relieve the bottleneck of large-scale phenotyping data acquisition in crop breeding studies.
Which Foods Cause The Most Air Pollution?,"Red meat production is a leading cause of premature PM-related deaths in the U.S., but agricultural production and its effects on air pollution are largely missing from the public debate."
Potential of Meat Substitutes for Climate Change Mitigation and Improved Human Health in High-Income Markets,Reducing the price of meat substitute products could have large benefits for reducing global GHG emissions and improving nutritional standards.
Restoration Through Regeneration: An Analysis of Agriculture in the United States,Regenerative farming practices can halt environmental destruction caused by industrialized animal agriculture and promote the longevity of agriculture.
Population Modelling And Reintroduction: A Case Study With Gorillas,Reinforcing populations of lowland gorillas can drive down the probability of extinction to virtually 0%.
"A qualitative study of children, young people and sexting : English","Research found that sexting, which is a form of digital communication between teens, is problematic for young women and leads to sexual coercion."
Monitoring The Welfare Of Decapods And Cephalopods,"Researchers found that some animals in their study were being kept in less ideal environments, which lead to decreased welfare scores."
Rescued Goats At A Sanctuary Display Positive Mood After Former Neglect,Resident goats at an animal sanctuary show positive or similar moods regardless of their prior experience of neglect.
Tillage Practices and Residue Management Manipulate Soil Bacterial and Fungal Communities and Networks in Maize Agroecosystems.,Residue management had different effects on the bacterial and fungal communities in consecutive years.
"Less Animal-Based Food, Better Weight Status: Associations of the Restriction of Animal-Based Product Intake with Body-Mass-Index, Depressive Symptoms and Personality in the General Population.",Restricting animal-based products in the diet is associated with better weight and mental health outcomes.
Marketing Approaches to Pop Up Stores: An Exploration of Social Networking,Retailers are opening up temporary pop up stores using social media and text messaging to inform consumers.
Sustainability in Store,"Retailers are relatively flexible in their work with sustainability, but unstrategic."
Jellyfishes – Animals On The Verge Of Exploitation?,"Rethink Priorities researchers estimate that jellyfishes are not sentient, and so many markers used to assess sentience have not been evaluated in them."
Effect of enzyme types on the stability of oil-in-water emulsions formed with rice protein hydrolysates,Rice protein hydrolysates are as stable as whey protein against a range of environmental stress.
The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content.,"Ricinus communis is drought-resistant, and its root endophytic bacteria resemble those found in the seeds."
Reframing The Veg*n Argument To Reach Across Political Divides,Right wing omnivores and vegans value purity differently than their political counterparts.
RNAi Technology: A Potential Tool in Plant Breeding,RNA interference technology presents a new potential tool for plant breeding by introducing small non-coding RNA sequences to suppress gene expression.
Robotic Dogs Value In Elderly Care Homes,Robotic companion animals were found to be viable alternatives to live animal visitsations for dementia patients.
"Rural tourism, hospitality and cultural tourism experiences: rural tourism business: case studies in Baixo Alentejo (Portugal)",Rural tourism companies offer personalized experiences that meet the needs of tourists looking for a rural experience.
"Trophic ecology of yellowtail rockfish (Sebastes flavidus) during a marine heat wave off central California, USA.","S. flavidus consumes a variety of prey in the California Current Large Marine Ecosystem, with tunicates, pelagic crustaceans, and fishes being the most important."
Competitiveness and internationalization of a Portuguese SME in the cheese market - marketing mix and budget,"S4 plans to expand and consolidate its business internationally, choosing the United States and Germany as the most attractive markets."
Interactions between the beta-adrenergic agonist salbutamol and genotype on meat quality in pigs,"Salbutamol fed to pigs increased ADG, dressing percentage, and cross-sectional area of the longissimus muscle."
